CityID,CityCode,RegionID,ModifiedDate
1,456,4,1/1/2018 0:00
2,461,2,1/1/2018 0:00
3,473,6,1/1/2018 0:00
4,478,6,1/1/2018 0:00
5,485,6,1/1/2018 0:00
6,515,6,1/1/2018 0:00
7,517,4,1/1/2018 0:00
8,522,4,1/1/2018 0:00
9,526,2,1/1/2018 0:00
10,541,6,1/1/2018 0:00
11,553,6,1/1/2018 0:00
12,556,6,1/1/2018 0:00
13,561,6,1/1/2018 0:00
14,562,6,1/1/2018 0:00
15,576,2,1/1/2018 0:00
16,577,4,1/1/2018 0:00
17,579,4,1/1/2018 0:00
18,590,4,1/1/2018 0:00
19,593,6,1/1/2018 0:00
20,596,5,1/1/2018 0:00
21,599,4,1/1/2018 0:00
22,602,2,1/1/2018 0:00
23,604,4,1/1/2018 0:00
24,609,8,1/1/2018 0:00
25,614,7,1/1/2018 0:00
26,615,2,1/1/2018 0:00
27,620,6,1/1/2018 0:00
28,628,6,1/1/2018 0:00
29,632,2,1/1/2018 0:00
30,638,4,1/1/2018 0:00
31,647,4,1/1/2018 0:00
32,648,2,1/1/2018 0:00
33,649,2,1/1/2018 0:00
34,651,6,1/1/2018 0:00
35,654,4,1/1/2018 0:00
36,658,2,1/1/2018 0:00
37,659,6,1/1/2018 0:00
38,675,2,1/1/2018 0:00
39,676,2,1/1/2018 0:00
40,679,4,1/1/2018 0:00
41,680,6,1/1/2018 0:00
42,683,4,1/1/2018 0:00
43,685,4,1/1/2018 0:00
44,693,2,1/1/2018 0:00
45,695,6,1/1/2018 0:00
46,698,1,1/1/2018 0:00
47,699,7,1/1/2018 0:00
48,700,4,1/1/2018 0:00
49,702,3,1/1/2018 0:00
50,703,4,1/1/2018 0:00
51,713,7,1/1/2018 0:00
